train,1,42-1-VIRAT_S_040103_03_000284_000425,108,/media/grupoavatar/DATOS/ VIRAT Ground Dataset/videos_cropped_categorized2/1/42-1-VIRAT_S_040103_03_000284_000425
train,1,31-1-VIRAT_S_040005_06_000886_001016,77,/media/grupoavatar/DATOS/ VIRAT Ground Dataset/videos_cropped_categorized2/1/31-1-VIRAT_S_040005_06_000886_001016
train,1,43-1-VIRAT_S_040103_03_000284_000425,117,/media/grupoavatar/DATOS/ VIRAT Ground Dataset/videos_cropped_categorized2/1/43-1-VIRAT_S_040103_03_000284_000425
train,1,37-1-VIRAT_S_040103_03_000284_000425,838,/media/grupoavatar/DATOS/ VIRAT Ground Dataset/videos_cropped_categorized2/1/37-1-VIRAT_S_040103_03_000284_000425
train,1,30-1-VIRAT_S_040103_00_000000_000120,88,/media/grupoavatar/DATOS/ VIRAT Ground Dataset/videos_cropped_categorized2/1/30-1-VIRAT_S_040103_00_000000_000120
train,1,28-1-VIRAT_S_040104_09_001475_001583,59,/media/grupoavatar/DATOS/ VIRAT Ground Dataset/videos_cropped_categorized2/1/28-1-VIRAT_S_040104_09_001475_001583
train,1,9-1-VIRAT_S_040000_08_001084_001190,426,/media/grupoavatar/DATOS/ VIRAT Ground Dataset/videos_cropped_categorized2/1/9-1-VIRAT_S_040000_08_001084_001190
train,1,3-1-VIRAT_S_050202_02_000447_000577,121,/media/grupoavatar/DATOS/ VIRAT Ground Dataset/videos_cropped_categorized2/1/3-1-VIRAT_S_050202_02_000447_000577
train,1,37-1-VIRAT_S_040005_07_001026_001223,95,/media/grupoavatar/DATOS/ VIRAT Ground Dataset/videos_cropped_categorized2/1/37-1-VIRAT_S_040005_07_001026_001223
train,1,16-1-VIRAT_S_040000_09_001194_001574,146,/media/grupoavatar/DATOS/ VIRAT Ground Dataset/videos_cropped_categorized2/1/16-1-VIRAT_S_040000_09_001194_001574
train,1,38-1-VIRAT_S_040005_07_001026_001223,86,/media/grupoavatar/DATOS/ VIRAT Ground Dataset/videos_cropped_categorized2/1/38-1-VIRAT_S_040005_07_001026_001223
train,1,0-1-VIRAT_S_050202_02_000447_000577,59,/media/grupoavatar/DATOS/ VIRAT Ground Dataset/videos_cropped_categorized2/1/0-1-VIRAT_S_050202_02_000447_000577
train,1,10-1-VIRAT_S_000206_07_001501_001600,74,/media/grupoavatar/DATOS/ VIRAT Ground Dataset/videos_cropped_categorized2/1/10-1-VIRAT_S_000206_07_001501_001600
train,1,30-1-VIRAT_S_040005_06_000886_001016,64,/media/grupoavatar/DATOS/ VIRAT Ground Dataset/videos_cropped_categorized2/1/30-1-VIRAT_S_040005_06_000886_001016
train,1,8-1-VIRAT_S_000003,111,/media/grupoavatar/DATOS/ VIRAT Ground Dataset/videos_cropped_categorized2/1/8-1-VIRAT_S_000003
train,1,0-1-VIRAT_S_000001,59,/media/grupoavatar/DATOS/ VIRAT Ground Dataset/videos_cropped_categorized2/1/0-1-VIRAT_S_000001
test,1,29-1-VIRAT_S_040104_04_000854_000934,91,/media/grupoavatar/DATOS/ VIRAT Ground Dataset/videos_cropped_categorized2/1/29-1-VIRAT_S_040104_04_000854_000934
test,1,148-1-VIRAT_S_050300_01_000148_000396,190,/media/grupoavatar/DATOS/ VIRAT Ground Dataset/videos_cropped_categorized2/1/148-1-VIRAT_S_050300_01_000148_000396
test,1,44-1-VIRAT_S_040103_03_000284_000425,132,/media/grupoavatar/DATOS/ VIRAT Ground Dataset/videos_cropped_categorized2/1/44-1-VIRAT_S_040103_03_000284_000425
test,1,11-1-VIRAT_S_040103_02_000199_000279,66,/media/grupoavatar/DATOS/ VIRAT Ground Dataset/videos_cropped_categorized2/1/11-1-VIRAT_S_040103_02_000199_000279
test,1,10-1-VIRAT_S_050203_07_001288_001531,215,/media/grupoavatar/DATOS/ VIRAT Ground Dataset/videos_cropped_categorized2/1/10-1-VIRAT_S_050203_07_001288_001531
